building_key,row_count,distinct_roll_numbers,distinct_sub_property_use,distinct_land_use_designation,min_assessed_value,max_assessed_value
1000 SOMERVALE CO SW,75,75,1,1,236500,353500
2000 SOMERVALE CO SW,75,75,1,1,236500,353500
3000 SOMERVALE CO SW,163,163,3,1,2500,371000
4000 SOMERVALE CO SW,75,75,1,1,231000,322000
4500 SOMERVALE CO SW,1,1,1,1,446000,446000
4500R SOMERVALE CO SW,1,1,1,1,50000,50000
5000 SOMERVALE CO SW,218,218,2,1,10000,350000
5500 SOMERVALE CO SW,86,86,3,1,2500,339000
6000 SOMERVALE CO SW,142,142,2,1,10000,322000
7000 SOMERVALE CO SW,1,1,1,1,21720000,21720000
8000 SOMERVALE CO SW,1,1,1,1,1570000,1570000
