field,present_count,present_pct
address,838,100.00
assessed_value,838,100.00
assessment_class,838,100.00
assessment_class_description,838,100.00
comm_code,838,100.00
comm_name,838,100.00
cpid,838,100.00
fl_assessed_value,838,100.00
land_size_ac,838,100.00
land_size_sf,838,100.00
land_size_sm,838,100.00
land_use_designation,838,100.00
mod_date,838,100.00
multipolygon,838,100.00
nr_assessed_value,838,100.00
property_type,838,100.00
re_assessed_value,838,100.00
roll_number,838,100.00
roll_year,838,100.00
sub_property_use,838,100.00
unique_key,838,100.00
year_of_construction,835,99.64
